% Model,ZnO piezo unit_2.mph
% Version,COMSOL 6.4.0.343
% Date,"Apr 30 2026, 21:00"
% Table,Resonant Frequency vs Pressure - 
% p_app (kPa),freq (MHz),Frequency (MHz),log|Z|,Conductance (S)
0,200,200,3.2965918691577496,1.1057676127083462E-5
0,200.04999999999998,200.04999999999998,3.329511264085471,1.1017950062322716E-5
0,200.1,200.1,3.3650720482949645,1.1036948201140002E-5
0,200.14999999999998,200.14999999999998,3.4039706546760113,1.112776076313996E-5
0,200.2,200.2,3.447194759189519,1.1309056445030353E-5
0,200.25,200.25,3.4962038833056597,1.1607947451825092E-5
0,200.29999999999998,200.29999999999998,3.553268958697684,1.2064760288621375E-5
0,200.35,200.35,3.6221689487164395,1.2741306503233244E-5
0,200.39999999999998,200.39999999999998,3.7097990357737074,1.3735921311423773E-5
0,200.45,200.45,3.8305716464603723,1.5212417711270893E-5
0,200.5,200.5,4.022161942841292,1.74598636283559E-5
0,200.54999999999998,200.54999999999998,4.428587172939088,2.1027245191647798E-5
0,200.6,200.6,4.2674822777751835,2.7062926717439474E-5
0,200.64999999999998,200.64999999999998,3.8084997478371885,3.830997602818334E-5
0,200.7,200.7,3.5038343654334803,6.2728622103203E-5
0,200.75,200.75,3.217320178834218,1.3204659732650098E-4
0,200.79999999999998,200.79999999999998,2.851153941553324,4.8399527392138436E-4
0,200.85,200.85,2.2761892829312242,0.005270855077414952
0,200.89999999999998,200.89999999999998,2.774230321405408,4.514447074351863E-4
0,200.95,200.95,3.030871414973789,1.2688329070532025E-4
0,201,201,3.186435921436421,6.050661343164888E-5
0,201.04999999999998,201.04999999999998,3.301841614141801,3.662046010538936E-5
0,201.1,201.1,3.3978471136186315,2.5387885999802533E-5
0,201.14999999999998,201.14999999999998,3.4840575515874974,1.92027796183768E-5
0,201.2,201.2,3.5659685578077713,1.5419707262169806E-5
0,201.25,201.25,3.647395846133309,1.2924204048040893E-5
0,201.29999999999998,201.29999999999998,3.7315900796964447,1.1180921523132892E-5
0,201.35,201.35,3.821973460120629,9.906792097982928E-6
0,201.39999999999998,201.39999999999998,3.9229370104492243,8.940734188161622E-6
0,201.45,201.45,4.04120059789014,8.185595228822943E-6
0,201.5,201.5,4.189001320063851,7.579945261754532E-6
0,201.54999999999998,201.54999999999998,4.394044957158041,7.083389169056613E-6
0,201.6,201.6,4.745801570853033,6.668470401837405E-6
0,201.64999999999998,201.64999999999998,5.088873703855299,6.315990435968191E-6
0,201.7,201.7,4.5751786950018465,6.01219116559174E-6
0,201.75,201.75,4.336276331305899,5.746998639752903E-6
0,201.79999999999998,201.79999999999998,4.187079969060665,5.5128946662164424E-6
0,201.85,201.85,4.079668550702661,5.304172255620742E-6
0,201.89999999999998,201.89999999999998,3.9962847942359625,5.116432611988088E-6
0,201.95,201.95,3.9284552860389677,4.9462380804378544E-6
0,202,202,3.8714897597050832,4.790868129087768E-6
0,202.04999999999998,202.04999999999998,3.8225254982206693,4.648144821535688E-6
0,202.1,202.1,3.7796896254240306,4.516306040629056E-6
0,202.14999999999998,202.14999999999998,3.7416914837814894,4.393912086383099E-6
0,202.2,202.2,3.707604942219352,4.279775964791764E-6
0,202.25,202.25,3.6767435624485176,4.172910734096398E-6
0,202.29999999999998,202.29999999999998,3.648584869974493,4.072489294489187E-6
0,202.35,202.35,3.6227222665249132,3.977813365467982E-6
0,202.39999999999998,202.39999999999998,3.5988333164444355,3.888289323547217E-6
0,202.45,202.45,3.5766581534793915,3.803409215988967E-6
0,202.5,202.5,3.5559843717796475,3.7227357179293E-6
0,202.54999999999998,202.54999999999998,3.5366362015096215,3.645890121112231E-6
0,202.6,202.6,3.5184665924365666,3.5725426731894163E-6
0,202.64999999999998,202.64999999999998,3.501351317990824,3.5024047540997227E-6
0,202.7,202.7,3.4851845125603713,3.4352224990795264E-6
0,202.75,202.75,3.469875244398319,3.3707715688483744E-6
0,202.79999999999998,202.79999999999998,3.455344849316853,3.308852835755221E-6
0,202.85,202.85,3.4415248316685423,3.2492888057246946E-6
0,202.89999999999998,202.89999999999998,3.428355194098626,3.1919206350368416E-6
0,202.95,202.95,3.415783095381342,3.1366056305995194E-6
0,203,203,3.403761762152253,3.0832151454240422E-6
0,203.04999999999998,203.04999999999998,3.3922495991610595,3.0316327988003043E-6
0,203.1,203.1,3.381209456240014,2.98175296459957E-6
0,203.14999999999998,203.14999999999998,3.3706080200800885,2.933479481998327E-6
0,203.2,203.2,3.360415306225872,2.8867245516244586E-6
0,203.25,203.25,3.350604232150641,2.8414077869200752E-6
0,203.29999999999998,203.29999999999998,3.341150256408185,2.79745539600739E-6
0,203.35,203.35,3.3320310719801394,2.7547994737870422E-6
0,203.39999999999998,203.39999999999998,3.3232263443603225,2.7133773874539E-6
0,203.45,203.45,3.314717486782149,2.673131241588524E-6
0,203.5,203.5,3.3064874664502093,2.63400741126338E-6
0,203.54999999999998,203.54999999999998,3.2985206367943793,2.5959561335809712E-6
0,203.6,203.6,3.290802591659652,2.558931149584133E-6
0,203.64999999999998,203.64999999999998,3.2833200380872096,2.522889389861182E-6
0,203.7,203.7,3.2760606849033214,2.4877906982094124E-6
0,203.75,203.75,3.269013144821454,2.4535975886992526E-6
0,203.79999999999998,203.79999999999998,3.262166848127292,2.420275032241268E-6
0,203.85,203.85,3.2555119663347183,2.387790269438893E-6
0,203.89999999999998,203.89999999999998,3.2490393444546872,2.3561126470914347E-6
0,203.95,203.95,3.2427404407224865,2.3252134764757127E-6
0,204,204,3.2366072728064315,2.2950659115817837E-6
0,204.04999999999998,204.04999999999998,3.230632369661879,2.2656448464653063E-6
0,204.1,204.1,3.224808728312789,2.2369268312171743E-6
0,204.14999999999998,204.14999999999998,3.219129774941775,2.208890006431542E-6
0,204.2,204.2,3.213589329751614,2.181514056981378E-6
0,204.25,204.25,3.2081815751291396,2.154780186446257E-6
0,204.29999999999998,204.29999999999998,3.2029010266979756,2.1286711146741845E-6
0,204.35,204.35,3.1977425068908785,2.10317110187038E-6
0,204.39999999999998,204.39999999999998,3.192701120708822,2.078266004653264E-6
0,204.45,204.45,3.1877722333592464,2.053943371320407E-6
0,204.5,204.5,3.1829514494816804,2.03019258684544E-6
0,204.54999999999998,204.54999999999998,3.17823459367532,2.0070050824058622E-6
0,204.6,204.6,3.1736176920368684,1.984374630413221E-6
0,204.64999999999998,204.64999999999998,3.1690969543936593,1.9622977551549277E-6
0,204.7,204.7,3.164668756872265,1.940774302641157E-6
0,204.75,204.75,3.1603296243724914,1.9198082337659333E-6
0,204.79999999999998,204.79999999999998,3.156076212392651,1.8994087364419571E-6
0,204.85,204.85,3.151905287468035,1.8795918021902856E-6
0,204.89999999999998,204.89999999999998,3.1478137051881774,1.8603824927309725E-6
0,204.95,204.95,3.1437983842887625,1.8418182545487035E-6
0,205,205,3.1398562745517298,1.8239538632552833E-6
0,205.04999999999998,205.04999999999998,3.135984314989259,1.8068689719215445E-6
